email,articles
"Subject: RE: PRD NxtPad

Salut Guillaume,

Je fouille présentement dans mes vieux mails.

J’aimerais avoir un peu plus d’information quant à ce point.

Est-ce qu’on a une bonne définition de ce qu’on veut dire par ‘’eau trop chaude’’ ?

J’imagine qu’on parle d’une situation où le pack (au travers de son senseur) évalue que la température de l’eau est aller au-delà de 40 °C ?

Si tel est le cas, j’implémenterais effectivement une rétroaction software où l’écran du keypad flash avec un symbol danger.

Les lumières peuvent également flasher si jamais cette option est installée.

Ce sera un requis que je devrais rajouter pour l’aspect software du projet.","Title: Hot Water Alert System Implementation

Category: Upcoming Feature

Product: in.k1000

To enhance safety and user experience, a new feature is being developed for Gecko spa systems that will address situations where water temperatures exceed a safe threshold. Specifically, if the water temperature is detected to be over 40 °C (104 °F), an alert system will be activated. This system involves a visual cue on the in.k1000 keypad, where the display will flash a danger symbol, warning users about the excessively hot water.

In addition to the keypad alert, there will be an option to have the spa lights flash, provided that this feature is installed in the setup. This will offer an additional layer of notification, ensuring that users are promptly alerted to the hazardous condition. As part of the ongoing project developments, this software requirement will be incorporated to enhance user safety and provide clear, immediate communication of critical water temperature conditions."
"Subject: RE: Approbation fiche produit Gecko waterlab

Salut Nancy,

On converge!

Voici mes quelques commentaires en ordre d’apparition dans le document :

*	Purposely designed sensing chamber for seamless under-the-spa inline conditions integration
*	Highly durable probe 
*	All-in-one highly precise sensors further restraining interactions which monitors your water acidity, temperature, and sanitation
*	Minimize calibration requirement 
*	Single App controling  controlling your spa enabling 24/7 water monitoring 
*	Strong and proven water recommendation engine reducing guesswork of  in water chemistry
*	Easy, no interpretation Straightforward access 
*	Simple, easy-to-follow instructions 
*	Accurate & repetitive  and reliable results due 

Vous trouverez ses commentaires dans le document également.

N’hésitez pas si vous avez des questions,

Jérôme Landry

Chef de produits | Product Line Manager 

P +1-418-573-3403
 jlandry@geckoal.com <mailto:splante@geckoal.com>  | Geckoalliance.com <https://can01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fgeckoalliance.com%2F&data=05%7C01%7Cjlandry%40geckoal.com%7C5d9d195c23b2455d24a408dbdf057b8d%7Cf193f6f562be492d897d776cde125585%7C0%7C0%7C638348986857173504%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=6Qv3mXtL%2BXP9%2FHXfOYeKQfTB%2FuiMp73X322WZvh9uBA%3D&reserved=0>   
450 Des Canetons, Québec, QC, G2E 5W6, Canada","Title: Seamless Integration of Gecko Waterlab Sensing Chamber
Category: Knowledge
Product: Gecko Waterlab

The Gecko Waterlab has been purposefully designed to integrate seamlessly under the spa for inline conditions, a crucial feature for ease of use and efficiency. This design ensures that the sensing chamber is easily incorporated into the spa system without requiring extensive modification or complex installation procedures. The inclusion of highly durable probes contributes to the longevity and reliability of the system, ensuring that users can depend on consistent performance over time. Additionally, the all-in-one sensors provide precise monitoring of water parameters, including acidity, temperature, and sanitation, streamlining the process of maintaining optimal water quality. This feature is further enhanced by a reduction in calibration requirements, making the Gecko Waterlab both user-friendly and low-maintenance. Such seamless integration with spas helps manufacturers simplify assembly processes and ensures end-users can enjoy a smoother spa experience with better water management."
"Subject: RE: Approbation fiche produit Gecko waterlab

Salut Nancy,

On converge!

Voici mes quelques commentaires en ordre d’apparition dans le document :

*	Purposely designed sensing chamber for seamless under-the-spa inline conditions integration
*	Highly durable probe 
*	All-in-one highly precise sensors further restraining interactions which monitors your water acidity, temperature, and sanitation
*	Minimize calibration requirement 
*	Single App controling  controlling your spa enabling 24/7 water monitoring 
*	Strong and proven water recommendation engine reducing guesswork of  in water chemistry
*	Easy, no interpretation Straightforward access 
*	Simple, easy-to-follow instructions 
*	Accurate & repetitive  and reliable results due 

Vous trouverez ses commentaires dans le document également.

N’hésitez pas si vous avez des questions,

Jérôme Landry

Chef de produits | Product Line Manager 

P +1-418-573-3403
 jlandry@geckoal.com <mailto:splante@geckoal.com>  | Geckoalliance.com <https://can01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fgeckoalliance.com%2F&data=05%7C01%7Cjlandry%40geckoal.com%7C5d9d195c23b2455d24a408dbdf057b8d%7Cf193f6f562be492d897d776cde125585%7C0%7C0%7C638348986857173504%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=6Qv3mXtL%2BXP9%2FHXfOYeKQfTB%2FuiMp73X322WZvh9uBA%3D&reserved=0>   
450 Des Canetons, Québec, QC, G2E 5W6, Canada","Title: Streamlined Spa Control with Gecko Waterlab
Category: Knowledge
Product: Gecko Waterlab

The Gecko Waterlab offers a single application for controlling your spa, allowing 24/7 water monitoring and management through a user-friendly platform. This unified control system simplifies the user experience, providing easy access to spa diagnostics and settings at any time. The app interfaces with a powerful water recommendation engine, which minimizes guesswork for users by offering informed suggestions based on current water chemistry. This not only enhances the user experience by providing clear and actionable insights but also assists in maintaining the spa's optimal performance. Straightforward instructions and easy-to-interpret data ensure that spa owners can manage their systems with confidence and minimal effort. This app-centric approach represents a significant advancement in spa technology by integrating multiple monitoring functions into a single, cohesive user interface."
"Subject: RE: Approbation fiche produit Gecko waterlab

Salut Nancy,

On converge!

Voici mes quelques commentaires en ordre d’apparition dans le document :

*	Purposely designed sensing chamber for seamless under-the-spa inline conditions integration
*	Highly durable probe 
*	All-in-one highly precise sensors further restraining interactions which monitors your water acidity, temperature, and sanitation
*	Minimize calibration requirement 
*	Single App controling  controlling your spa enabling 24/7 water monitoring 
*	Strong and proven water recommendation engine reducing guesswork of  in water chemistry
*	Easy, no interpretation Straightforward access 
*	Simple, easy-to-follow instructions 
*	Accurate & repetitive  and reliable results due 

Vous trouverez ses commentaires dans le document également.

N’hésitez pas si vous avez des questions,

Jérôme Landry

Chef de produits | Product Line Manager 

P +1-418-573-3403
 jlandry@geckoal.com <mailto:splante@geckoal.com>  | Geckoalliance.com <https://can01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fgeckoalliance.com%2F&data=05%7C01%7Cjlandry%40geckoal.com%7C5d9d195c23b2455d24a408dbdf057b8d%7Cf193f6f562be492d897d776cde125585%7C0%7C0%7C638348986857173504%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=6Qv3mXtL%2BXP9%2FHXfOYeKQfTB%2FuiMp73X322WZvh9uBA%3D&reserved=0>   
450 Des Canetons, Québec, QC, G2E 5W6, Canada","Title: Precision and Reliability in Spa Water Management
Category: Knowledge
Product: Gecko Waterlab

Gecko Waterlab focuses on delivering accurate, repetitive, and reliable results regarding spa water management. The technologically advanced sensors included within the system are engineered for high precision, consistently providing trustworthy data on water acidity, temperature, and sanitation levels. This precision is critical for ensuring safe and enjoyable spa experiences, as it informs necessary adjustments to the water chemistry, reducing the need for manual checks. The minimized requirement for frequent calibrations further enhances reliability, offering spa owners peace of mind with less ongoing maintenance. Additionally, the straightforwardness and ease of interpreting the results provided by Gecko Waterlab reinforce the user-friendly nature of the product. These features make the Gecko Waterlab an invaluable tool for both manufacturers and spa users, merging advanced water monitoring capabilities with ease of use and minimal maintenance requirements."
"Subject: Jerome Landry vous a attribué une tâche dans « PRD_ECO2 »

<https://groupegecko.sharepoint.com/sites/GeckoProcesses/PMO%20%20Opportunities%20Management%20%20Documentation/OPJ-35%20-%20Eco%202.0/1_Mandate-Scope/PRD_ECO2.xlsx?d=w464a3ed89d4f489fb596769966e18bed&nav=MTBfezMzMjhFMTYxLTlCNkUtNDE5Qi04MUVFLUI4NDdEMTFEMDY4Nn1fezIyQTAwNUFFLTUwQkUtNDg1NC04QjBCLUVENThGMkZDQThBNX0&ne=ew0KICAidnQiOiB7DQogICAgImIiOiAxMTgwNTAxDQogIH0NCn0&e=Go3jHWIHOUmpgfBwInAwOw&at=44> 	PRD_ECO2.xlsx <https://groupegecko.sharepoint.com/sites/GeckoProcesses/PMO%20%20Opportunities%20Management%20%20Documentation/OPJ-35%20-%20Eco%202.0/1_Mandate-Scope/PRD_ECO2.xlsx?d=w464a3ed89d4f489fb596769966e18bed&nav=MTBfezMzMjhFMTYxLTlCNkUtNDE5Qi04MUVFLUI4NDdEMTFEMDY4Nn1fezIyQTAwNUFFLTUwQkUtNDg1NC04QjBCLUVENThGMkZDQThBNX0&ne=ew0KICAidnQiOiB7DQogICAgImIiOiAxMTgwNTAxDQogIH0NCn0&e=Go3jHWIHOUmpgfBwInAwOw&at=44> 

Requirements

 	Christian Richard a ajouté a commentaire

16' semble limitatif considérant les swim spa actuellement vise 25' de plus ce requis indique que ce doit être du USB. Je reformulerais le tout par: Cable must enable flexibility and support up to 25' of distance between the keypad and ""cortex""

 	Christian Richard a ajouté a commentaire

Ensuite, qu'advient-il de nos clients qui font du DIY, ou des customs spa avec des control a plus longue distance que 25'. Le protocol USB est plutôt limité en distance. Doit-on prévoir dans le Roadmap un ""signal extender""?

 	Jerome Landry vous a attribué une tâche

Suite à quelques discussions avec @Olivier Charest , j'ai compris que la distance (length) doit se limité à 16'' avant qu'il y ait de la dégradation. Nous devrons donc considérer effectivement un signal extender si les besoins sont au dela de 16''. @Olivier Charest qu'en pense tu?

E166: The cable must enable flexibility and support up to 16' of distance between the Cortex and the Keypad	 
Accéder au commentaire <https://groupegecko.sharepoint.com/sites/GeckoProcesses/PMO%20%20Opportunities%20Management%20%20Documentation/OPJ-35%20-%20Eco%202.0/1_Mandate-Scope/PRD_ECO2.xlsx?d=w464a3ed89d4f489fb596769966e18bed&nav=MTBfezMzMjhFMTYxLTlCNkUtNDE5Qi04MUVFLUI4NDdEMTFEMDY4Nn1fezIyQTAwNUFFLTUwQkUtNDg1NC04QjBCLUVENThGMkZDQThBNX0&ne=ew0KICAidnQiOiB7DQogICAgImIiOiAxMTgwNTAxDQogIH0NCn0&e=Go3jHWIHOUmpgfBwInAwOw&at=44>  	
Pourquoi est-ce que je reçois cette notification d’Office ? <https://go.microsoft.com/fwlink/?linkid=2113319> 

Déclaration de","Title: Enhancing Cable Flexibility for Gecko Devices

Category: Knowledge

Product: in.k1000

To optimize installation and operation of spa systems, there is a targeted requirement that the cable connecting the keypad to the Gecko ""Cortex"" must support up to 16 feet of distance. This ensures flexibility for different spa configurations, particularly for larger swim spas which can require extended distances.

The current specification highlights a limitation of the USB protocol in retaining signal integrity over greater distances. USB cables typically experience signal degradation beyond a certain length, generally around 16 feet. This presents challenges for Do-It-Yourself (DIY) installations or custom spa builds where the control distances exceed this measure.

Consideration is being given to introducing a signal extender into the product roadmap. This development would allow for greater flexibility and distance without compromising the signal integrity crucial for seamless spa operation. Anticipating customer needs for greater lengths, implementing a signal extender could bridge the gap effectively and maintain the reliability expected from Gecko products.

Implementers and end-users should remain aware of cable limitations and stay tuned for future enhancements which are in deliberation, indicating proactive solution development for extending system functionality."
"Subject: Jerome Landry a répondu à un commentaire dans « PRD_ECO2 »

<https://groupegecko.sharepoint.com/sites/GeckoProcesses/PMO%20%20Opportunities%20Management%20%20Documentation/OPJ-35%20-%20Eco%202.0/1_Mandate-Scope/PRD_ECO2.xlsx?d=w464a3ed89d4f489fb596769966e18bed&nav=MTBfezMxOEZFQTUyLTYwN0YtNDIzNi04RTQzLTIyNDI4Mjc2NkFDRn1fezIyQTAwNUFFLTUwQkUtNDg1NC04QjBCLUVENThGMkZDQThBNX0&ne=ew0KICAidnQiOiB7DQogICAgImIiOiAxMTU3OTAyDQogIH0NCn0&e=XxyGBha7n0isX0aS4MUeIg&at=16> 	PRD_ECO2.xlsx <https://groupegecko.sharepoint.com/sites/GeckoProcesses/PMO%20%20Opportunities%20Management%20%20Documentation/OPJ-35%20-%20Eco%202.0/1_Mandate-Scope/PRD_ECO2.xlsx?d=w464a3ed89d4f489fb596769966e18bed&nav=MTBfezMxOEZFQTUyLTYwN0YtNDIzNi04RTQzLTIyNDI4Mjc2NkFDRn1fezIyQTAwNUFFLTUwQkUtNDg1NC04QjBCLUVENThGMkZDQThBNX0&ne=ew0KICAidnQiOiB7DQogICAgImIiOiAxMTU3OTAyDQogIH0NCn0&e=XxyGBha7n0isX0aS4MUeIg&at=16> 

Requirements

 	Vous a laissé un commentaire

@Jerome Landry , il faut discuter de ceci afin que je comprenne bien le besoin

 	Vous a laissé un commentaire

@Jerome Landry , je vais te rephraser le tout et t'aviser.

 	Jerome Landry a répondu

Il devrait y avoir une action de la part du pack (ça peut être aussi simple que d'envoyer une alerte au Cortex) s'il y a du overheating ou que le GFCI circuit a été tripped. C'est pas mal ''basic'' et je suis certain qu'on a déjà ça

E220: The power management product must have a failsafe mode when a critical variable (water temperature, GFCI circuit open) is activated	 
Accéder au commentaire <https://groupegecko.sharepoint.com/sites/GeckoProcesses/PMO%20%20Opportunities%20Management%20%20Documentation/OPJ-35%20-%20Eco%202.0/1_Mandate-Scope/PRD_ECO2.xlsx?d=w464a3ed89d4f489fb596769966e18bed&nav=MTBfezMxOEZFQTUyLTYwN0YtNDIzNi04RTQzLTIyNDI4Mjc2NkFDRn1fezIyQTAwNUFFLTUwQkUtNDg1NC04QjBCLUVENThGMkZDQThBNX0&ne=ew0KICAidnQiOiB7DQogICAgImIiOiAxMTU3OTAyDQogIH0NCn0&e=XxyGBha7n0isX0aS4MUeIg&at=16>  	
Pourquoi est-ce que je reçois cette notification d’Office ? <https://go.microsoft.com/fwlink/?linkid=2113319> 

Déclaration de","Title: Implementation of Failsafe Mode in Power Management

Category: Knowledge

Product: in.ye, in.xe

The implementation of a failsafe mode in the power management product is essential to ensure safe operation under critical conditions. This feature activates when a critical variable, such as water temperature reaching unsafe levels or the Ground Fault Circuit Interrupter (GFCI) circuit being open (tripped), is detected. The purpose of the failsafe mode is to prevent any potential damage to the spa unit by immediately taking corrective actions. This could be as simple as sending an alert to the Cortex system, informing the user or manufacturer about the abnormal condition.

Ensuring that the power management system has a failsafe mode addresses the basic safety requirements that prevent overheating and protect against short circuits. When the GFCI detects a ground fault or an excess of heat, the system should trigger a series of automated responses to safely manage the scenario. This feature is fundamental to maintaining operational safety and is likely already integrated based on existing product capabilities. Regular testing and verification of this failsafe system are advised to ensure functionality remains intact over time."
"Subject: RE: Interview for SpaRetailer article about Gecko hot tub water monitor

Salut Véronique,

Voici mes réponses aux questions de la journaliste :

1. Could you give me an overview of what the water monitor is? 

*	Gecko Waterlab monitors temperature, pH (water acidity) and ORP (sanitation level) of a spa vessel and reports back this information through the Gecko App.
	We’ve built in a recommendation engine 

2. Tell me a bit more about its development. What has the process involved? Why create this?

*	Using surveys and interviews, we concluded very rapidly that water maintenance was the #1 pain points for spa owners.
	As such, we started investigating what were the current available solutions on the market and we came 

	1.	Most, if not all, of the water monitoring devices were what we call  ‘’floaters’’, meaning they would float on the water. 
		These products would have a short lifespan since water would inevitably infiltrate within the product.
	2.	A maintenance burden was necessary for every product since water monitoring did necessitate the use of consumable
		Be it a probe or a cassette, the spa owner would need 
		Let’s not forget that all these current devices also run on battery.
	3.	Even when the spa owner manages 

It thus became our mission 

3. Why partner 

*	Water chemistry testing is a whole world on its own and Gecko needed 
	General Galactic, the company which owns Crystal Water, checked all these boxes and were instrumental in guiding us through the development of our product.
	In fact, their innovative and modern approach 

4. Gecko will ultimately be the face of a water monitor in the hot tub industry. What does that mean for the company?

*	Gecko’s state objective is 
	This means thus means going beyond the topside and controls business.
	In fact, we want the spa owner 

5. When do you expect it 

*	The Waterlab will launch during the Dallas trade show on November 12th 2024.

6. How will the product overall impact the hot tub + hot tub owners?

*	The Waterlab is the first fully connected product, and we are eager 
	Continuous improvement and development bring 

7. Anything else you think readers should know?

*	Stay tuned for the release and lets work together on creating the ultimate spa experience.

Jérôme Landry

Chef de produits | Product Line Manager 

P +1-418-573-3403
 jlandry@geckoal.com <mailto:splante@geckoal.com>  | Geckoalliance.com <https://can01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fgeckoalliance.com%2F&data=05%7C01%7Cjlandry%40geckoal.com%7C5d9d195c23b2455d24a408dbdf057b8d%7Cf193f6f562be492d897d776cde125585%7C0%7C0%7C638348986857173504%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=6Qv3mXtL%2BXP9%2FHXfOYeKQfTB%2FuiMp73X322WZvh9uBA%3D&reserved=0>   
450 Des Canetons, Québec, QC, G2E 5W6, Canada","Title: Introducing Gecko Waterlab: A Revolution in Spa Water Monitoring
Category: Knowledge
Product: Gecko Waterlab

Gecko Waterlab is an innovative spa water monitoring system designed to address one of the primary concerns of spa owners—effective water maintenance. This advanced device monitors the temperature, pH levels, and ORP (Oxidation Reduction Potential) of spa water, providing users with real-time data through the Gecko App. One key innovation of the Waterlab is the integrated recommendation engine, which offers actionable insights to maintain optimal water conditions, ensuring a safe and pleasant spa experience.

The development of Waterlab stemmed from extensive research involving surveys and interviews, which identified water maintenance as a significant pain point for spa owners. Conventional water monitoring devices, often designed as floating units, faced issues with water infiltration that drastically shortened their lifespan. These devices also required regular maintenance with consumable items such as probes or cassettes, adding to the owners' burden. Recognizing these challenges, Gecko set out to create a robust and user-friendly solution.

Avoiding the pitfalls of existing products, Waterlab is engineered to offer long-term reliability without the need for constant upkeep. By eliminating the dependence on consumables and enhancing durability against water damage, the Waterlab significantly reduces the operational hassle for users. As it prepares for launch in November 2024, the introduction of Gecko Waterlab marks a substantial advancement in fully connected spa management technologies, promising a transformative impact on the hot tub industry and its users."
"Subject: Warning up to now

Probe Warning:

*	The probe must be kept in temperature above 0°C (32°F).
*	The probe must avoid long air exposure (over 15 min).
*	Prior 
*	The probe must be stored on its lengthwise surface and NEVER on its top or bottom surface
*	The storage bottle must be kept on the probe until the installation of the probe

Jérôme Landry

Chef de produits | Product Line Manager 

P +1-418-573-3403
 jlandry@geckoal.com <mailto:splante@geckoal.com>  | Geckoalliance.com <https://can01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fgeckoalliance.com%2F&data=05%7C01%7Cjlandry%40geckoal.com%7C5d9d195c23b2455d24a408dbdf057b8d%7Cf193f6f562be492d897d776cde125585%7C0%7C0%7C638348986857173504%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=6Qv3mXtL%2BXP9%2FHXfOYeKQfTB%2FuiMp73X322WZvh9uBA%3D&reserved=0>   
450 Des Canetons, Québec, QC, G2E 5W6, Canada","Title: Proper Handling and Storage of Probes for Installation  
Category: Knowledge  
Product: Gecko Waterlab  

When using probes with Gecko Waterlab products, it is essential to follow specific guidelines to ensure their optimal performance and longevity. First and foremost, the probes must be kept at temperatures above 0°C (32°F) to prevent damage from freezing. Exposure to air should be minimized, as prolonged exposure exceeding 15 minutes can lead to inaccurate readings or damage. Additionally, probes should always be stored on their lengthwise surface, never on the top or bottom surfaces, to maintain their structural integrity. Finally, keep the storage bottle on the probe until it is installed, which helps preserve the probe's condition until it is ready for use. Adhering to these guidelines will ensure that your probes provide reliable and accurate measurements during spa operations."
"Subject: RE: WaterLab

Hey Jim,

Here would be my responses:

1.	I agree 
	Improvements on our UI is part of our roadmap, and we’ve specifically added a member 
	I’d like 

2.	Identifying the best pH range can change 
	However, here are some important facts:

	*	pH, while an essential for chemical reaction, is mostly balanced 
	*	Acidic water (pH lower than 7) will make sanitizer more efficient, but will also make water more uncomfortable
	*	Human tears have an average pH value of 7.4
	*	The CPO certification (Certified Pool&Spa Operator) gives a range of 7.2 to 7.8 as being adequate range for pH 

We have no issues in providing a custom range for either bullfrog spas or for spas using frog@ease systems.
After all, we monitor pH and ORP and compare these values to ‘’industry standards’’ (which in our case is the CPO certification).
Let me know what you think.

3.	We currently have two probes which detects temperature.
	Our next version of the app, which will be available upon launch, will eliminate the value provided 
	Both sensors are at different positions in the tubing so this may lead 
	Can you confirm that the value provided 

4.	This falls within the first point above, improvement of UI.
	Our product is intended 

	*	A test strip scanner which would provide complimentary information on your water chemistry (Alkalinity, Hardness, CYA) which we call a water report
	*	A chemical scanner which would recognize the chemical you are using and then, do some calculation based on your pH/ORP and the water report and then tell you the exact amount of chemicals 

Let me know if you can play around 
If need be, I can jump into a call and check those 

Let me know if you are ok 

Jérôme Landry

Chef de produits | Product Line Manager 

P +1-418-573-3403
 jlandry@geckoal.com <mailto:splante@geckoal.com>  | Geckoalliance.com <https://can01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fgeckoalliance.com%2F&data=05%7C01%7Cjlandry%40geckoal.com%7C5d9d195c23b2455d24a408dbdf057b8d%7Cf193f6f562be492d897d776cde125585%7C0%7C0%7C638348986857173504%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=6Qv3mXtL%2BXP9%2FHXfOYeKQfTB%2FuiMp73X322WZvh9uBA%3D&reserved=0>   
450 Des Canetons, Québec, QC, G2E 5W6, Canada","Title: Understanding pH Levels in Spa Water 
Category: Knowledge
Product: Gecko Waterlab

The pH level of spa water is a crucial factor in maintaining both the efficiency of sanitizers and the comfort of users. Acidic water, with a pH value below 7, can enhance the efficiency of sanitizers but may result in discomfort for users. To strike an optimal balance, it's recommended to maintain the spa water pH within the range of 7.2 to 7.8, as specified by the Certified Pool & Spa Operator (CPO) certification guidelines. Gecko Waterlab monitors pH and ORP levels and aligns these readings with industry standards, specifically those outlined by the CPO certification. Custom pH ranges can be offered for certain spa systems, including those using frog@ease, ensuring both performance and comfort are maintained effectively."
"Subject: RE: WaterLab

Hey Jim,

Here would be my responses:

1.	I agree 
	Improvements on our UI is part of our roadmap, and we’ve specifically added a member 
	I’d like 

2.	Identifying the best pH range can change 
	However, here are some important facts:

	*	pH, while an essential for chemical reaction, is mostly balanced 
	*	Acidic water (pH lower than 7) will make sanitizer more efficient, but will also make water more uncomfortable
	*	Human tears have an average pH value of 7.4
	*	The CPO certification (Certified Pool&Spa Operator) gives a range of 7.2 to 7.8 as being adequate range for pH 

We have no issues in providing a custom range for either bullfrog spas or for spas using frog@ease systems.
After all, we monitor pH and ORP and compare these values to ‘’industry standards’’ (which in our case is the CPO certification).
Let me know what you think.

3.	We currently have two probes which detects temperature.
	Our next version of the app, which will be available upon launch, will eliminate the value provided 
	Both sensors are at different positions in the tubing so this may lead 
	Can you confirm that the value provided 

4.	This falls within the first point above, improvement of UI.
	Our product is intended 

	*	A test strip scanner which would provide complimentary information on your water chemistry (Alkalinity, Hardness, CYA) which we call a water report
	*	A chemical scanner which would recognize the chemical you are using and then, do some calculation based on your pH/ORP and the water report and then tell you the exact amount of chemicals 

Let me know if you can play around 
If need be, I can jump into a call and check those 

Let me know if you are ok 

Jérôme Landry

Chef de produits | Product Line Manager 

P +1-418-573-3403
 jlandry@geckoal.com <mailto:splante@geckoal.com>  | Geckoalliance.com <https://can01.safelinks.protection.outlook.com/?url=http%3A%2F%2Fgeckoalliance.com%2F&data=05%7C01%7Cjlandry%40geckoal.com%7C5d9d195c23b2455d24a408dbdf057b8d%7Cf193f6f562be492d897d776cde125585%7C0%7C0%7C638348986857173504%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=6Qv3mXtL%2BXP9%2FHXfOYeKQfTB%2FuiMp73X322WZvh9uBA%3D&reserved=0>   
450 Des Canetons, Québec, QC, G2E 5W6, Canada","Title: Temperature Detection Enhancements in Upcoming App Version
Category: Upcoming Feature
Product: Gecko Waterlab

Gecko Waterlab is set to enhance its functionality in its upcoming app version by improving the accuracy of temperature readings within spa systems. The current system employs two separate temperature probes placed at different locations in the tubing. This setup sometimes leads to discrepancies in temperature readings. The forthcoming app version will address this by eliminating inconsistent values and providing more reliable and precise temperature data. This improvement aims to enhance the user experience by ensuring consistent and accurate temperature monitoring, contributing significantly to the efficient operation and enjoyment of spa products."
